2025-02-11,田寮石场边坡完善工程施工开标情况
2025-02-11,陆丰市高质量推进农村生活污水治理项目（二期三标段）更正公告
2025-02-11,广佛大桥系统工程（一期）泛光照明工程施工专业承包
2025-02-11,金沙洲AB3707009地块1#3#楼套内精装修工程施工专业承包
2025-02-11,广垦乳业智慧物流中心新建项目施工总承包-广垦乳业智慧物流中心新建项目_广垦乳业智慧物流中心新建项目施工总承包
2025-02-11,广州（中新）中交智造科创云廊项目1期厂房建设项目铝合金门窗、幕墙工程-广州（中新）中交智造科创云廊项目_广州（中新）中交智造科创云廊项目1期厂房建设项目铝合金门窗、幕墙工程延期补充公告
2025-02-11,中国联通茂名新建通信局房项目一期（中国联通茂名5G边缘计算中心（一期））工程总承包（EPC）项目-中国联通茂名5G边缘计算中心（一期）_中国联通茂名新建通信局房项目一期（中国联通茂名5G边缘计算中心（一期））工程总承包（EPC）项目招标公告
2025-02-11,知识城低空经济园区市政道路及配套工程勘察设计-知识城低空经济园区市政道路及配套工程_知识城低空经济园区市政道路及配套工程勘察设计招标公告
2025-02-11,广州市增城区雅瑶河（新塘段）加固工程-广州市增城区雅瑶河（新塘段）加固工程补充公告
2025-02-11,开平市马冈食品生产加工基地建设项目工程设计中标候选人公示
2025-02-11,乐昌市梅花镇乡村振兴示范带项目(国道240及国道535沿线示范带建设)一期监理（第一阶段）评标报告
2025-02-11,乐昌市梅花镇乡村振兴示范带项目（国道240及国道535沿线示范带建设）一期监理（第一阶段）招标中标候选人公示
2025-02-11,河套深港科技创新合作区协同创新区一期（标段名称：国际协同创新区北区N-04项目全过程设计）定标结果公示
2025-02-11,汕尾市职业技能培训学校建设项目监理合同
2025-02-11,中国电子深圳湾总部基地建设-中标结果公示
2025-02-11,琴澳公园及小横琴山服务配套工程（标段二）施工答疑公告
2025-02-11,站南路改造提升工程设计中标候选人公示
2025-02-11,中国电子深圳湾总部基地建设-中国电子总部自用办公区域精装修概念及方案设计定标结果公示
2025-02-11,惠东县农村生活污水治理工程监理【监理】招标公告
2025-02-11,惠来县华湖镇城郊融合村人居环境整治项目设计施工总承包招标公告
2025-02-11,公明车辆段物业开发项目公明车辆段01-27、01-28地块门窗及幕墙设计定标结果公示
2025-02-11,规划横八路1号地鸡洲配建物业项目、规划横八路1号地永丰配建物业项目全过程造价咨询评标报告
2025-02-11,阳江市人民医院院区升级改造项目二期工程工程总承包（EPC）
2025-02-11,长岭居CPPQ-A4-2、CPPQ-A4-3周边市政道路工程监理-黄埔区长岭居CPPQ-A4-2、CPPQ-A4-3周边市政道路及配套工程_长岭居CPPQ-A4-2、CPPQ-A4-3周边市政道路工程监理
2025-02-11,广德（英德）产业园东排涝站工程施工总承包-广德（英德）产业园东排涝站工程_广德（英德）产业园东排涝站工程施工总承包
2025-02-11,广东省韶关市武江区人居环境整治建设项目-武江区江湾镇四沿人居环境整治项目勘察设计招标公告
2025-02-11,（补充通知）华中师范大学东莞东城学校（小学部）改造工程补充通知公告
2025-02-11,宝安区福永人民医院2023年门诊改造工程（自筹资金）-福永人民医院2号楼附楼改造提升工程开标情况
2025-02-11,南沙科创中心芯新产业园四、五、六期项目设计施工总承包（标段一）（项目编号：JG2025-0499）暂停公告
2025-02-11,乐平镇园区水域安全工程合同
2025-02-11,乐从镇220KV佛藤高压线架空线改造工程第三方监测项目（基坑及敞开段）评标报告
2025-02-11,中国人民银行广东省分行支付系统广州城市处理中心新机房设计施工总承包工程项目 （项目编号：JG2025-0356）暂停公告
2025-02-11,创新广场B座20楼办公用房装修工程设计施工一体化【已变更】
2025-02-11,雷州市农村生活污水处理设施（二期）第一批项目监理-合同
2025-02-11,华发南湾壹号苑项目主体建安工程答疑公告
2025-02-11,（澄清公告）金汀湾施工总承包答疑回复二
2025-02-11,国道G206线平远县超竹至梅平径段改建工程-国道G206线平远县超竹至梅平径段改建工程_国道G206线平远县超竹至梅平径段改建工程
2025-02-11,金融城东区车陂村住宅复建安置房项目永电工程-金融城东区车陂村住宅复建安置房_金融城东区车陂村住宅复建安置房项目永电工程
2025-02-11,阳江高新区港口工业园诚信四路建设工程监理-阳江高新区港口工业园诚信四路建设工程_阳江高新区港口工业园诚信四路建设工程监理
2025-02-11,广东职业技术学院纺织服装开放型区域产教融合实践中心项目勘察设计-广东职业技术学院纺织服装开放型区域产教融合实践中心_广东职业技术学院纺织服装开放型区域产教融合实践中心项目勘察设计
2025-02-11,广东能源克拉玛依30万千瓦光伏算电协同一体化项目升压站及储能部分EPC总承包工程-广东能源克拉玛依30万千瓦光伏算电协同一体化项目升压站及储能部分EPC总承包工程
