movie_name,sns_score,movie_cover_url,movie_video_url
绿皮书,9.2,https://pic9.iqiyipic.com/image/20241214/f5/b0/v_119733424_m_601_m19.webp,https://www.iqiyi.com/v_19rr5eoxww.html
血战湘江,9.2,https://pic9.iqiyipic.com/image/20240301/a2/b3/v_112883317_m_601_m13.webp,https://www.iqiyi.com/v_19rr7plefg.html
蝙蝠侠：黑暗骑士,9.2,https://pic8.iqiyipic.com/image/20231113/75/71/v_111442686_m_601_m16.webp,https://www.iqiyi.com/v_19rra6zong.html
窃听风暴,9.2,https://pic9.iqiyipic.com/image/20231110/d8/0a/v_108724831_m_601_m9.webp,https://www.iqiyi.com/v_19rrnaubew.html
超脱,9.2,https://pic8.iqiyipic.com/image/20231109/74/bd/v_50377942_m_601_m14.webp,https://www.iqiyi.com/v_19rrjy9aic.html
入殓师,9.2,https://pic3.iqiyipic.com/image/20231109/1f/19/v_112846147_m_601_m18.webp,https://www.iqiyi.com/v_19rr7r4vo0.html
少年派的奇幻漂流,9.2,https://pic0.iqiyipic.com/image/20231110/d6/21/v_50429872_m_601_m20.webp,https://www.iqiyi.com/v_19rrjv4kz0.html
两杆大烟枪,9.2,https://pic2.iqiyipic.com/image/20231109/82/f4/v_50116345_m_601_m11.webp,https://www.iqiyi.com/v_19rrk3zxd4.html
南海十三郎,9.2,https://pic7.iqiyipic.com/image/20231109/3a/8c/v_112850779_m_601_m7.webp,https://www.iqiyi.com/v_19rr7rhnds.html
蜡笔小新：决一胜负！逆袭的机器人爸爸,9.2,https://pic3.iqiyipic.com/image/20240710/ed/e3/v_173166343_m_601_m4.webp,https://www.iqiyi.com/v_223c45v175c.html
帮助,9.2,https://pic9.iqiyipic.com/image/20231110/40/c2/v_50150470_m_601_m10.webp,https://www.iqiyi.com/v_19rrk10wc4.html
本杰明·巴顿奇事,9.2,https://pic6.iqiyipic.com/image/20231109/88/5b/v_111455532_m_601_m11.webp,https://www.iqiyi.com/v_19rra6pojw.html
穿条纹睡衣的男孩 ,9.2,https://pic1.iqiyipic.com/image/20231110/6e/4b/v_50329450_m_601_m11.webp,https://www.iqiyi.com/v_19rrjqdjlw.html
狮子王（1994）,9.2,https://pic5.iqiyipic.com/image/20231110/0f/15/v_119173824_m_601_m13.webp,https://www.iqiyi.com/v_19rr57r5jk.html
绿里奇迹,9.2,https://pic9.iqiyipic.com/image/20231109/5a/88/v_106642502_m_601_m13.webp,https://www.iqiyi.com/v_19rrhwqjjc.html
决战之后（上集）,9.2,https://pic0.iqiyipic.com/image/20240903/0a/0b/v_109678172_m_601_m12.webp,https://www.iqiyi.com/v_19rrkqeekg.html
心灵捕手,9.2,https://pic2.iqiyipic.com/image/20231110/40/39/v_50319946_m_601_m30.webp,https://www.iqiyi.com/v_19rrjr24g4.html
控方证人,9.2,https://pic6.iqiyipic.com/image/20231110/84/dc/v_153946711_m_601_m5.webp,https://www.iqiyi.com/v_uglazaydk0.html
指环王：护戒使者,9.2,https://pic6.iqiyipic.com/image/20231113/42/7d/v_111469001_m_601_m19.webp,https://www.iqiyi.com/v_19rra68glc.html
脸庞，村庄,9.2,https://pic0.iqiyipic.com/image/20210915/f3/fc/v_115733432_m_601_m6.webp,https://www.iqiyi.com/v_19rrcsdlsg.html
切腹,9.2,https://pic8.iqiyipic.com/image/20230629/bb/11/v_112854822_m_601_m7.webp,https://www.iqiyi.com/v_19rr7qgx7c.html
大独裁者,9.2,https://pic5.iqiyipic.com/image/20231110/09/9f/v_50000342_m_601_m11.webp,https://www.iqiyi.com/v_19rrj6sk8k.html
建党伟业,9.2,https://pic6.iqiyipic.com/image/20240301/95/63/v_50111603_m_601_m13.webp,https://www.iqiyi.com/v_19rrk3nlz4.html
哪吒闹海,9.2,https://pic7.iqiyipic.com/image/20231109/25/ef/v_142178302_m_601_m10.webp,https://www.iqiyi.com/v_19rv1e457o.html
红楼梦（1962）,9.2,https://pic3.iqiyipic.com/image/20231110/d9/71/v_108794182_m_601_m15.webp,https://www.iqiyi.com/v_19rrn74nls.html
东京物语,9.2,https://pic2.iqiyipic.com/image/20231109/89/7b/v_103705098_m_601_m13.webp,https://www.iqiyi.com/v_19rrh7o184.html
雨中曲,9.2,https://pic5.iqiyipic.com/image/20230629/af/3c/v_62645104_m_601_m6.webp,https://www.iqiyi.com/v_19rrho744s.html
大话西游之月光宝盒（粤语）,9.2,https://pic8.iqiyipic.com/image/20241227/e4/f8/v_62955895_m_601_m11.webp,https://www.iqiyi.com/v_19rrmq8v0w.html
五女拜寿,9.2,https://pic3.iqiyipic.com/image/20231109/c0/b1/v_112851639_m_601_m5.webp,https://www.iqiyi.com/v_19rr7rfwfw.html
